Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Relative_Humidity,zenith_deg,azimuth_deg
2024,1,1,0,0,0,0,0,89.28,171.30450153135388,313.34974628227974
2024,1,1,0,30,0,0,0,91.69,173.8299083638313,5.451483499997153
2024,1,1,1,0,0,0,0,95.32000000000001,170.46104088556422,51.77560685988533
2024,1,1,1,30,0,0,0,96.60000000000001,164.69630243990258,69.95078503479283
2024,1,1,2,0,0,0,0,99.57000000000001,158.384707762951,78.880604211057
2024,1,1,2,30,0,0,0,100,151.90671191155752,84.57223634528754
2024,1,1,3,0,0,0,0,100,145.3724628979514,88.84626471804143
2024,1,1,3,30,0,0,0,100,138.82791925781842,92.4113230268294
2024,1,1,4,0,0,0,0,100,132.29885760804305,95.60218827649908
2024,1,1,4,30,0,0,0,100,125.80384545622229,98.60297729768365
2024,1,1,5,0,0,0,0,100,119.3591645965349,101.52932363866574
2024,1,1,5,30,0,0,0,100,112.98118377748224,104.46357829456099
2024,1,1,6,0,0,0,0,100,106.68784916718809,107.47189145373659
2024,1,1,6,30,0,0,0,100,100.49990646455224,110.61349908092211
2024,1,1,7,0,0,0,0,100,94.44213472781404,113.94634939229627
2024,1,1,7,30,14,239,22,95.79,88.22573022059635,117.53082954014997
2024,1,1,8,0,34,524,100,91.92,82.7250671636457,121.43227993744563
2024,1,1,8,30,47,683,197,86.65,77.31759255717446,125.72234235679878
2024,1,1,9,0,57,774,293,86.46000000000001,72.18455519416408,130.47863053268594
2024,1,1,9,30,63,838,385,79,67.41539623960855,135.7815894243904
2024,1,1,10,0,72,868,464,77.44,63.10186823379469,141.70674904455115
2024,1,1,10,30,76,899,534,74.01,59.347991872557984,148.31028188225264
2024,1,1,11,0,82,908,587,71.83,56.26866841526481,155.60686941821768
2024,1,1,11,30,85,919,625,70.04,53.981278867031456,163.5428939821934
2024,1,1,12,0,89,919,648,68.95,52.59042777950491,171.97523477782488
2024,1,1,12,30,89,919,653,67.61,52.16852016425517,180.6720026800355
2024,1,1,13,0,88,915,642,67.51,52.739007028836774,189.34669413335075
2024,1,1,13,30,86,906,615,67.02,54.270369156568734,197.7175882155687
2024,1,1,14,0,323,116,387,67.09,56.68413747704198,205.5648066255838
2024,1,1,14,30,81,859,513,67.51,59.87259723104495,212.75937041773312
2024,1,1,15,0,231,30,244,70.19,63.71792718636809,219.2596006253784
2024,1,1,15,30,182,112,224,71.52,68.1064995497923,225.08810885624902
2024,1,1,16,0,159,27,167,76.46000000000001,72.9362250358197,230.30523816484725
2024,1,1,16,30,52,580,171,80.89,78.11679744414496,234.9880340320746
2024,1,1,17,0,35,400,80,82.26,83.55615765044236,239.216927776435
2024,1,1,17,30,0,0,0,82.26,89.0178282209013,243.06882176593956
2024,1,1,18,0,0,0,0,82.60000000000001,95.34586059187332,246.6144763036379
2024,1,1,18,30,0,0,0,82.60000000000001,101.42535513482218,249.9184988674727
2024,1,1,19,0,0,0,0,83.94,107.63097488505345,253.04090107796588
2024,1,1,19,30,0,0,0,85.01,113.93860711313333,256.0398022799659
2024,1,1,20,0,0,0,0,86.5,120.3279679088795,258.9754196575253
2024,1,1,20,30,0,0,0,88.73,126.78137443698445,261.9161648280668
2024,1,1,21,0,0,0,0,91.51,133.28248995559744,264.948875804001
2024,1,1,21,30,0,0,0,92.69,139.814727142935,268.19796665055173
2024,1,1,22,0,0,0,0,95.96000000000001,146.35858305974637,271.86559372469117
2024,1,1,22,30,0,0,0,97.2,152.8858836852932,276.3273237997819
2024,1,1,23,0,0,0,0,99.84,159.34406659568282,282.3985113979304
2024,1,1,23,30,0,0,0,100,165.60061212164956,292.2426324355154
2024,1,2,0,0,0,0,0,100,171.1701805023224,313.2072820865087
2024,1,2,0,30,0,0,0,100,173.75666837823206,4.389975199734408
2024,1,2,1,0,0,0,0,100,170.4859594919735,50.96642602904467
2024,1,2,1,30,0,0,0,100,164.75497210151397,69.48379105160541
2024,1,2,2,0,0,0,0,94.62,158.45507366725187,78.56298070136455
2024,1,2,2,30,0,0,0,97.75,151.98158931836986,84.32968879913062
2024,1,2,3,0,0,0,0,89.11,145.4487428438863,88.64678963666762
2024,1,2,3,30,0,0,0,93.3,138.90392567745494,92.23875458657199
2024,1,2,4,0,0,0,0,88.25,132.373514221653,95.4472832871877
2024,1,2,4,30,0,0,0,91.83,125.87635022760661,98.4599136841216
2024,1,2,5,0,0,0,0,88.67,119.4288389281293,101.3941294026929
2024,1,2,5,30,0,0,0,91.08,113.0473911617242,104.33334860201279
2024,1,2,6,0,0,0,0,89.94,106.74994403725854,107.34436529655102
2024,1,2,6,30,0,0,0,91.16,100.55719662048733,110.48681658994042
2024,1,2,7,0,0,0,0,90.97,94.49384966447668,113.81890954262326
2024,1,2,7,30,14,252,22,86.78,88.2673176261803,117.4012119718094
2024,1,2,8,0,34,552,104,83.09,82.7623248822461,121.2992173359699
2024,1,2,8,30,48,713,204,78.27,77.3465900171999,125.58474410754559
2024,1,2,9,0,57,800,301,73.51,72.20367245280974,130.33566888278835
2024,1,2,9,30,64,863,395,70.22,67.42306154283948,135.63286579986982
2024,1,2,10,0,70,904,479,67.6,63.096432915600225,141.552554127566
2024,1,2,10,30,74,928,547,64.95,59.32781482847298,148.1519342729414
2024,1,2,11,0,78,947,604,63.78,56.232311625021374,155.4470467164217
2024,1,2,11,30,80,961,646,61.77,53.92779427266509,163.38576250921847
2024,1,2,12,0,82,967,670,61.38,52.519670135538504,171.82611961253463
2024,1,2,12,30,83,963,675,60.6,52.081355737684696,180.53647377932384
2024,1,2,13,0,85,954,664,60.56,52.63728321758456,189.22932660296107
2024,1,2,13,30,83,946,637,60.56,54.15661745879052,197.62099014080547
2024,1,2,14,0,81,930,594,60.38,56.561134822991775,205.48938440213198
2024,1,2,14,30,78,907,535,61.160000000000004,59.742970589727875,212.70379669005854
2024,1,2,15,0,74,874,463,61.76,63.583916688358215,219.22158101813162
2024,1,2,15,30,68,827,378,63.77,67.96988930767255,225.06506628359165
2024,1,2,16,0,61,755,284,67.09,72.7984001823936,230.29475448020293
2024,1,2,16,30,50,648,185,72.97,77.97893299034621,234.98806379204186
2024,1,2,17,0,35,471,89,80.23,83.41999610411365,239.22586235004704
2024,1,2,17,30,12,147,15,83.46000000000001,88.89543308752391,243.08547710629614
2024,1,2,18,0,0,0,0,85.78,95.20890859902528,246.63805285440645
2024,1,2,18,30,0,0,0,86.92,101.28947995637789,249.9485402962551
2024,1,2,19,0,0,0,0,89.26,107.49625211598652,253.07726497256752
2024,1,2,19,30,0,0,0,90.46000000000001,113.80504219273098,256.0826491737936
2024,1,2,20,0,0,0,0,91.92,120.1955030992833,259.0252241549899
2024,1,2,20,30,0,0,0,92.54,126.64988598512639,261.9737517108055
2024,1,2,21,0,0,0,0,93.09,133.15177323914963,265.01548117954746
2024,1,2,21,30,0,0,0,93.09,139.6844639627085,268.2753084867944
2024,1,2,22,0,0,0,0,91.87,146.22827850904395,271.9558625932505
2024,1,2,22,30,0,0,0,91.26,152.7547483390117,276.43266005285886
2024,1,2,23,0,0,0,0,90.65,159.21081650414226,282.5177123164302
2024,1,2,23,30,0,0,0,90.05,165.4634030244091,292.3508740938814
2024,1,3,0,0,0,0,0,90.19,171.03110288713413,313.10751778669544
2024,1,3,0,30,0,0,0,90.19,173.67376009188834,3.3592676891441897
2024,1,3,1,0,0,0,0,90.03,170.50304616782256,50.124409871809064
2024,1,3,1,30,0,0,0,89.35000000000001,164.80819755407393,68.98975934112462
2024,1,3,2,0,0,0,0,88.56,158.52101479830796,78.22537910974631
2024,1,3,2,30,0,0,0,87.39,152.05249702440886,84.07155790864118
2024,1,3,3,0,0,0,0,86.08,145.52125045519958,88.43454241294455
2024,1,3,3,30,0,0,0,84.86,138.97621952916734,92.05531756459652
2024,1,3,4,0,0,0,0,85.02,132.44443454945997,95.282861237507
2024,1,3,4,30,0,0,0,84.46000000000001,125.94503863661821,98.30832825571764
2024,1,3,5,0,0,0,0,85.04,119.49457504838296,101.25116735798213
2024,1,3,5,30,0,0,0,84.48,113.10950485747405,104.19593591233439
2024,1,3,6,0,0,0,0,85.61,106.80776069193838,107.21011982956031
2024,1,3,6,30,0,0,0,85.05,100.60999750565773,110.35379175312136
2024,1,3,7,0,0,0,0,85.87,94.54083911366199,113.6854444010138
2024,1,3,7,30,13,1,13,82.01,88.30426621003917,117.26584947204873
